timestamp,space,event_title_eng,event_desc_eng,event_title_de,event_desc_de,weekday,start_time,end_time,fb_url,url,paid
8/16/2019 9:08:49,Kiez Büro Coworking,BertaBerlin Coworking Map Release Party,"We will present the BertaBerlin Coworking Map – with enough time for drinks, snacks, and small talk. ",BertaBerlin Coworking Map Release Party,"We will present the BertaBerlin Coworking Map – with enough time for drinks, snacks, and small talk. ",Tuesday,18:30,22:00,https://www.facebook.com/events/422184831840565/,https://www.facebook.com/events/422184831840565/,No
8/16/2019 12:19:37,Kiez Büro Coworking,Coworking in Church,"Our host is the Emmaus Church in the heart of Kreuzberg 36 on Lausitzer Platz. You can work in the church coffee shop or buy coffee, tea, or a piece of cake at a reasonable price. If you feel like it, you are also free to meditate in the church room. 

Churches are open spaces – or at least they should be! For this reason we’re very grateful to Emmaus Church for opening their doors to the public for a day of coworking.",Coworking in Church,"Our host is the Emmaus Church in the heart of Kreuzberg 36 on Lausitzer Platz. You can work in the church coffee shop, buy coffee, tea or a piece of cake at a reasonable price – and if you feel like it, you can also meditate a little in the church room. 

Churches are open spaces – or at least should be! Therefore we are very happy that the Emmaus Church opens its doors for a coworking day.",Friday,9:30,17:00,https://www.facebook.com/events/1868410389972426/?notif_t=event_calendar_create&notif_id=1565950689756428,https://www.facebook.com/events/1868410389972426/?notif_t=event_calendar_create&notif_id=1565950689756428,No
8/16/2019 16:36:23,engelnest,engelnest Opening Party,engelnest Opening Party,engelnest Opening Party,engelnest Eröffnungsfeier,Thursday,19:00,23:59,https://www.facebook.com/events/1103717259823975/,,No
8/21/2019 17:16:25,HeartSpace,HeartSpace Tour,Take a tour through the HeartSpace Member’s Club and Coworking & Coffee space and get to know the HeartSpace team!,HeartSpace Tour,Nimm eine Tour durch den HeartSpace Member’s Club und dem Coworking & Coffee space und lerne das HeartSpace Team kennen!,Friday,11:00,0:00,,,No
8/23/2019 15:17:09,Ringbahn Coworking,FREE Breakfast + Co-working,"We want to kick off the Berlin Coworking Festival with two things we all enjoy: fun and food! Join us for a casual community breakfast at Ringbahn Coworking and get to know our space and our members. Stay after the breakfast to get some work done in our coworking space. We will be offering free coworking all week on a first-come-first-serve basis so be sure to arrive early! It’s a great chance to meet new people and work on independent projects within a community-focused atmosphere.
",FREE Frühstuck + Coworking,"Wir möchten das Berliner Coworking Festival mit Spaß und Essen beginnen! Begleiten Sie uns bei Ringbahn Coworking und lernen Sie unser Space und Members bei einem ungezwungenen Gemeinschaftsfrühstück kennen. Bleiben Sie nach dem Frühstück und erledigen Sie Ihre Arbeit in unserem Coworking Space. Wir werden die ganze Woche FREE Coworking anbieten. Der Platz ist first come first serve. Eine großartige Gelegenheit, neue Leute kennenzulernen und eure Projekten in einer Gemeinschaftsatmosphäre zu bearbeiten.",Monday,10:00,18:00,https://www.facebook.com/events/370646770556796/,https://www.meetup.com/Ringbahn-Coworking-by-intertempi/events/264214532/,No
8/23/2019 15:25:02,Ringbahn Coworking,Open Source Beginner Workshop,"Want to learn how to create an open-source project or how to contribute in existing project?
What are typical problems for new open-source projects?
How can you start building a community to help others?
Join our meeting at Ringbahn-Coworking space where we will be sharing our experiences. We will discuss several topics:
•  Prerequisites for starting an open-source project or a threshold.
•  How to start building a project community that will allow it to be used in the real world.
•  Defining the tipping point; what it takes for a project to become so widely used so that community can support itself.

NOTE: The format of our discussion will be more similar to a workshop than presentations, so feel free to bring your questions and ideas for brainstorming sessions.
",Open Source Beginner Workshop,Event findet auf Englisch statt,Tuesday,17:00,19:00,https://www.facebook.com/events/370646770556796/,https://www.meetup.com/Ringbahn-Coworking-by-intertempi/events/264214975/,No
8/23/2019 15:33:33,Ringbahn Coworking,Pitch Day ,"Do you have a great new project but need objective feedback? Pitch Day is the perfect opportunity to test your ideas and get input from other professionals! Sign up to present your business plan, project, non-profit, etc. to the group and then receive feedback. This event will also include an afternoon coffee social where you can connect with others in the community.",Pitch Day ,Event findet auf Englisch statt,Wednesday,14:00,17:00,https://www.facebook.com/events/370646770556796/?event_time_id=370646783890128,https://www.meetup.com/Ringbahn-Coworking-by-intertempi/events/264215846/,No
8/23/2019 15:36:18,Ringbahn Coworking,Skill Sharing Sessions + Coffee ,"Are you a marketing maven? A strategic content creator? An insightful data analyst? Or just eager to improve your entrepreneurial skills? Join us for mini Skill Sharing Sessions at Ringbahn Coworking. You’re welcome as a participant, presenter, or both!
This collective knowledge sharing approach is the backbone of coworking and is one of the many benefits of working collectively, even on independent projects. This event will consist of various 15 minute skillshare sessions; 10 minute presentations followed by 5 minute discussion periods. 
",Shill Sharing Sessions + Coffee,Event findet auf Englisch statt,Thursday,15:00,17:00,https://www.facebook.com/events/370646790556794,https://www.meetup.com/Ringbahn-Coworking-by-intertempi/events/264215950/,No
8/23/2019 15:37:44,Ringbahn Coworking,Disruptive Tischtennis Tournament and Beers,"""Disruptive"" Tischtennis Tournament at Ringbahn Coworking is our final event for this year’s Berlin Coworking Festival. Challenge your skills on this special playing field (perhaps a surprise ping pong table…). Drink beers and mix and mingle with freelancers, start-ups, and digital nomads. See who is the true table tennis champion!

This will be a casual event so don’t be discouraged if you aren’t an avid Tischtennis fan… this is an event for everyone.",Disruptive Tischtennis Tournament and Beers,Event findet auf Englisch statt,Friday,15:00,18:00,https://www.facebook.com/events/370646787223461,https://www.meetup.com/Ringbahn-Coworking-by-intertempi/events/264221519/,No
8/25/2019 19:20:39,Wonder Coworking,Community Croissant & Coffee,"Let’s start the new work week together with some yummy croissants, delicious coffee and tasty smoothies. Normally this event is exclusively for our community members, but during the Coworking Festival week we’d love to welcome other coworking ladies into our beautiful space. ",Community Croissant & Coffee,"Beginnen wir die neue Arbeitswoche mit leckeren Croissants, gutem Kaffee und selbstgemachten Smoothies. Diese Veranstaltung ist normalerweise nur für unsere Community-Mitglieder, aber während der Coworking Festival-Woche freuen wir uns, auch andere Coworking Ladies herzlich bei uns begrüßen.",Monday,10:00,11:30,,,No
8/25/2019 19:52:52,Wonder Coworking,WONDER NIGHT – Female Founder Stories with Project Trés,"Dear Ladies,
We’d like to invite you to a special evening. At our Wonder Night you can always hear the inspiring story of a female founder. Let’s come together, have a drink, and enjoy the evening.

On the 11th of September we like to welcome Carla, the founder of Project Três. Project Três is a social enterprise and NGO dedicated to creating an impact, action, and awareness on sustainability and women empowerment in India and Kenya. 
",WONDER NIGHT – Female Founder Stories with Project Trés,"(Event findet auf Englisch statt)

Liebe Ladies,
wir möchten euch zu einem besonderen Abend bei uns einladen. Bei unserer Wonder Night lernt ihr eine inspirierende Gründerin und ihre Geschichte kennen. Lasst uns zusammen kommen, etwas trinken und den Abend genießen.

Am 11. September begrüßen wir Carla, die Gründerin von Project Três. Project Três ist ein soziales Unternehmen und eine Nichtregierungsorganisation, die sich zum Ziel gesetzt hat durch verschiedene Projekte in Indien und Kenia ein Bewusstsein für Nachhaltigkeit und Frauenförderung zu schaffen.
",Wednesday,18:30,20:30,https://www.facebook.com/events/2630518627245147/,,No
8/28/2019 21:13:55,Kiez Büro Coworking,Open Coworking,Open Coworking,Open Coworking,Open Coworking,Wednesday,10:00,17:00,https://www.facebook.com/events/958721614472297/,https://www.meetup.com/de-DE/Kiez-Buro-Coworking-Meetup/events/rfsbdryzmbpb/,No
8/28/2019 21:18:22,Kiez Büro Coworking,Community Breakfast at Kiez Buero Wrangelstrasse,Community Breakfast at Kiez Buero Wrangelstrasse,Community Frühstück im Kiez Büro Wrangelstraße,Community Frühstück im Kiez Büro Wrangelstraße,Monday,10:00,12:00,https://www.facebook.com/events/360991338180789/,https://www.meetup.com/de-DE/Kiez-Buro-Coworking-Meetup/events/264376757/?isFirstPublish=true,No
8/29/2019 12:10:41,Happy Pigeons Coliving & Coworking,Forms of communal living in Berlin,"Panel discussion on different forms of communal living. 

This discussion will take place as part of this year’s coworking festival Berlin, our aim is to broaden the discussion to include different ways of living as well as work; those who share their working space tend to be open to sharing their living space too.

Cohousing, coliving, podliving, cooperatives, tiny house communities – these are all are forms of communal living that are getting more and more popular for people from various age groups, cultural, and social backgrounds.

During this discussion we will analyze the different types of communal living, the motives behind them, their main challenges, and their future prospects; all from people who are building the scene right now in Berlin.

If you are living communally, coliving and/ or coworking, using different sharing economy platforms, we would love to have your input. 

If you are curious about living communally in Berlin this is the right place to start as well. 

Panel speakers:

•  Tobias Brockmann; Co-founder of Happy Pigeons Coliving and Forever Day One
•  Naima Ritter; a Conscious Living Coach and sustainable development professional
•  A representative from a tiny house community ( TBC )
•  A representative from a Baugroup ( TBC )
•  A representative from a co-housing community (TBC)

Program 

6:00 PM: Doors open, informal networking 
6:30 PM: Panel discussion
8:00 PM: Open audience discussion",Gemeinschaftliche Wohnformen in Berlin,"Podiumsdiskussion über verschiedene gemeinschaftliche Wohnformen in Berlin. 

Im Rahmen des Coworking-Festivals werden wir das Thema „Formen des gemeinschaftlichen Lebens/ Wohnens“ von verschiedenen Seiten näher betrachten. Folgende Wohnformen werden vorstellt:

• Coliving 
• Baugruppe
• Pod-Living
• Tiny-House community 

Dabei wird das Thema sowohl von der Nutzer & Projekt-Leiter, als auch von der wissenschaftlichen Seite beleuchtet werden. Motive, Herausforderungen und und Zukunftsperspektiven werden erläutert. 

Im Panel: 

Tobias Brockmann von ""Happy Pigeons Coliving"" & ""Forever Day One"" 

Naima Ritter von ""Concious Coliving"" 

Ein Vertreter der Tiny House Community (TBC)

Ein Vertreter einer Baugruppe (TBC)

Ein Co-housing• Vertreter (TBC)",Thursday,18:00,21:00,https://www.facebook.com/events/668596400289368/,https://www.eventbrite.co.uk/e/forms-of-communal-living-in-berlin-tickets-70770607793,No
